Source,OOI_Asset_Class,SENSOR_MODEL,SENSOR_SERIAL_NUMBER,PREDEPLOYMENT_CALIB_DATE,OOI_File,SF_cdom,CF_cdom,CC_dark_counts_cdom,CC_scale_factor_cdom,CC_scale_factor_cdom_adjusted,CC_dark_counts_chlorophyll_a,CC_scale_factor_chlorophyll_a,CC_dark_counts_volume_scatter,CC_scale_factor_volume_scatter
CGINS,FLORTK,BBFL2,830,2011-04-05,CGINS-FLORTK-00830__20110405.csv,5.62,0.2971274977067264,43.0,0.092,0.15362680141428584,51.0,0.0122,48.0,2.12e-06
CGINS,FLORTK,BBFL2,830,2015-02-11,CGINS-FLORTK-00830__20150211.csv,5.62,0.22169493911230448,44.0,0.0744,0.09269686150114964,49.0,0.0121,47.0,2.264e-06
CGINS,FLORTK,BBFL2,830,2016-07-15,CGINS-FLORTK-00830__20160715.csv,5.62,0.28639231863102005,45.0,0.0656,0.10558482889433544,49.0,0.0121,46.0,2.192e-06
CGINS,FLORTK,BBFL2,830,2017-07-26,CGINS-FLORTK-00830__20170726.csv,5.62,0.28639231863102005,49.0,0.0605,0.09737625225773312,51.0,0.0119,48.0,2.46e-06
CGINS,FLORTK,BBFL2,830,2018-06-28,CGINS-FLORTK-00830__20180628.csv,5.62,0.28639231863102005,48.0,0.0606,0.09753720474080375,52.0,0.0123,47.0,2.47e-06
CGINS,FLORTK,BBFL2,830,2019-06-17,CGINS-FLORTK-00830__20190617.csv,5.62,0.4457537913526475,47.0,0.2016,0.5050354795722187,50.0,0.012,47.0,2.217e-06
CGINS,FLORTK,BBFL2,830,2020-07-24,CGINS-FLORTK-00830__20200724.csv,5.62,0.7582129413718173,47.0,0.0893,0.38052129603450846,49.0,0.0122,45.0,2.764e-06
CGINS,FLORTK,BBFL2,830,2023-03-20,CGINS-FLORTK-00830__20230320.csv,1.0,1.0,44.0,0.0905,0.0905,51.0,0.01237,47.0,2.652e-06
CGINS,FLORTK,BBFL2,969,2012-07-17,CGINS-FLORTK-00969__20120717.csv,5.62,0.2971274977067264,53.0,0.0911,0.15212393053088522,52.0,0.0121,49.0,3.356e-06
CGINS,FLORTK,BBFL2,969,2014-08-14,CGINS-FLORTK-00969__20140814.csv,5.62,0.22169493911230448,45.0,0.0917,0.11425137365128256,48.0,0.0116,49.0,3.507e-06
CGINS,FLORTK,BBFL2,969,2015-08-18,CGINS-FLORTK-00969__20150818.csv,5.62,0.28639231863102005,44.0,0.0792,0.12747436659194156,48.0,0.0119,49.0,3.448e-06
CGINS,FLORTK,BBFL2,969,2016-12-12,CGINS-FLORTK-00969__20161212.csv,5.62,0.28639231863102005,44.0,0.0613,0.0986638721222982,49.0,0.0118,48.0,3.307e-06
CGINS,FLORTK,BBFL2,969,2018-01-26,CGINS-FLORTK-00969__20180126.csv,5.62,0.28639231863102005,50.0,0.0553,0.0890067231380602,50.0,0.0118,50.0,3.681e-06
CGINS,FLORTK,BBFL2,969,2019-01-11,CGINS-FLORTK-00969__20190111.csv,5.62,0.28639231863102005,49.0,0.05,0.08047624153531664,52.0,0.0116,49.0,3.683e-06
CGINS,FLORTK,BBFL2,969,2019-12-10,CGINS-FLORTK-00969__20191210.csv,5.62,0.4457537913526475,51.0,0.0487,0.12200013817047149,50.0,0.0115,49.0,3.69e-06
CGINS,FLORTK,BBFL2,1029,2012-12-11,CGINS-FLORTK-01029__20121211.csv,5.62,0.2971274977067264,50.0,0.0907,0.15145598791604048,53.0,0.0121,50.0,3.49e-06
CGINS,FLORTK,BBFL2,1029,2014-08-14,CGINS-FLORTK-01029__20140814.csv,5.62,0.22169493911230448,46.0,0.0787,0.09805434139973761,47.0,0.0117,49.0,3.338e-06
CGINS,FLORTK,BBFL2,1029,2015-08-12,CGINS-FLORTK-01029__20150812.csv,5.62,0.28639231863102005,45.0,0.0755,0.12151912471832813,47.0,0.0119,48.0,3.328e-06
CGINS,FLORTK,BBFL2,1029,2016-07-14,CGINS-FLORTK-01029__20160714.csv,5.62,0.28639231863102005,45.0,0.0755,0.12151912471832813,48.0,0.0108,49.0,3.3e-06
CGINS,FLORTK,BBFL2,1029,2017-07-25,CGINS-FLORTK-01029__20170725.csv,5.62,0.28639231863102005,50.0,0.0597,0.09608863239316807,50.0,0.0108,48.0,3.687e-06
CGINS,FLORTK,BBFL2,1029,2018-06-28,CGINS-FLORTK-01029__20180628.csv,5.62,0.28639231863102005,50.0,0.0637,0.1025267317159934,50.0,0.0109,48.0,3.692e-06
CGINS,FLORTK,BBFL2,1029,2019-06-17,CGINS-FLORTK-01029__20190617.csv,5.62,0.4457537913526475,43.0,0.0643,0.1610802645659408,46.0,0.0143,48.0,3.332e-06
CGINS,FLORTK,BBFL2,1029,2020-07-27,CGINS-FLORTK-01029__20200727.csv,5.62,0.7582129413718173,44.0,0.0555,0.23649419854328355,48.0,0.0104,48.0,3.72e-06
CGINS,FLORTK,BBFL2,1029,2023-02-03,CGINS-FLORTK-01029__20230203.csv,1.0,1.0,48.0,0.107,0.107,49.0,0.01158,50.0,3.366e-06
CGINS,FLORTK,BBFL2,1030,2012-12-11,CGINS-FLORTK-01030__20121211.csv,5.62,0.2971274977067264,49.0,0.0904,0.15095503095490692,51.0,0.0121,50.0,3.481e-06
CGINS,FLORTK,BBFL2,1030,2014-12-04,CGINS-FLORTK-01030__20141204.csv,5.62,0.22169493911230448,48.0,0.0831,0.10353641385410665,49.0,0.0119,48.0,3.233e-06
CGINS,FLORTK,BBFL2,1030,2015-12-16,CGINS-FLORTK-01030__20151216.csv,5.62,0.28639231863102005,48.0,0.0699,0.11250578566637266,48.0,0.0121,48.0,3.308e-06
CGINS,FLORTK,BBFL2,1030,2016-12-06,CGINS-FLORTK-01030__20161206.csv,5.62,0.28639231863102005,47.0,0.065,0.10461911399591163,47.0,0.0116,48.0,3.437e-06
CGINS,FLORTK,BBFL2,1031,2012-12-12,CGINS-FLORTK-01031__20121212.csv,5.62,0.2971274977067264,49.0,0.0907,0.15145598791604048,51.0,0.0121,51.0,3.53e-06
CGINS,FLORTK,BBFL2,1031,2014-08-14,CGINS-FLORTK-01031__20140814.csv,5.62,0.22169493911230448,47.0,0.0838,0.10440856174457447,47.0,0.0116,49.0,3.21e-06
CGINS,FLORTK,BBFL2,1031,2015-12-30,CGINS-FLORTK-01031__20151230.csv,5.62,0.28639231863102005,47.0,0.0723,0.11636864526006786,46.0,0.011,49.0,3.154e-06
CGINS,FLORTK,BBFL2,1031,2017-07-26,CGINS-FLORTK-01031__20170726.csv,5.62,0.28639231863102005,49.0,0.0983,0.1582162908584325,51.0,0.0106,49.0,3.084e-06
CGINS,FLORTK,BBFL2,1031,2018-06-28,CGINS-FLORTK-01031__20180628.csv,5.62,0.28639231863102005,50.0,0.0673,0.10832102110653619,49.0,0.0108,49.0,3.474e-06
CGINS,FLORTK,BBFL2,1031,2019-06-25,CGINS-FLORTK-01031__20190625.csv,5.62,0.4457537913526475,46.0,0.063,0.15782358736631835,48.0,0.0112,48.0,3.433e-06
CGINS,FLORTK,BBFL2,1031,2020-07-15,CGINS-FLORTK-01031__20200715.csv,5.62,0.7582129413718173,47.0,0.0565,0.24075535527379316,48.0,0.0104,48.0,3.139e-06
CGINS,FLORTK,BBFL2,1031,2022-01-20,CGINS-FLORTK-01031__20220120.csv,5.62,0.7582129413718173,49.0,0.0528,0.22498907537090757,49.0,0.0125,48.0,3.507e-06
CGINS,FLORTK,BBFL2,1031,2023-09-12,CGINS-FLORTK-01031__20230912.csv,1.0,1.0,49.32352941,0.09056,0.09056,51.10294118,0.0121,50.79411765,3.024e-06
CGINS,FLORTK,BBFL2,1032,2012-12-12,CGINS-FLORTK-01032__20121212.csv,5.62,0.2971274977067264,50.0,0.0908,0.15162297356975168,50.0,0.0121,50.0,3.482e-06
CGINS,FLORTK,BBFL2,1032,2015-07-07,CGINS-FLORTK-01032__20150707.csv,5.62,0.28639231863102005,46.0,0.0813,0.13085436873642484,48.0,0.0121,48.0,3.288e-06
CGINS,FLORTK,BBFL2,1032,2016-07-15,CGINS-FLORTK-01032__20160715.csv,5.62,0.28639231863102005,47.0,0.0726,0.11685150270927974,47.0,0.0118,48.0,3.414e-06
CGINS,FLORTK,BBFL2,1033,2012-12-12,CGINS-FLORTK-01033__20121212.csv,5.62,0.2971274977067264,50.0,0.0909,0.15178995922346286,49.0,0.0121,50.0,3.566e-06
CGINS,FLORTK,BBFL2,1033,2015-09-17,CGINS-FLORTK-01033__20150917.csv,5.62,0.28639231863102005,48.0,0.0927,0.14920295180647705,50.0,0.0121,49.0,2.979e-06
CGINS,FLORTK,BBFL2,1100,2013-08-28,CGINS-FLORTK-01100__20130828.csv,5.62,0.2971274977067264,49.0,0.09,0.15028708834006224,49.0,0.0121,49.0,3.259e-06
CGINS,FLORTK,BBFL2,1100,2015-02-12,CGINS-FLORTK-01100__20150212.csv,5.62,0.22169493911230448,47.0,0.0808,0.10067078507114101,49.0,0.0121,47.0,3.314e-06
CGINS,FLORTK,BBFL2,1100,2015-12-29,CGINS-FLORTK-01100__20151229.csv,5.62,0.28639231863102005,47.0,0.0753,0.12119721975218686,47.0,0.0121,48.0,3.239e-06
CGINS,FLORTK,BBFL2,1100,2016-12-12,CGINS-FLORTK-01100__20161212.csv,5.62,0.28639231863102005,47.0,0.0654,0.10526292392819415,48.0,0.0117,49.0,3.19e-06
CGINS,FLORTK,BBFL2,1100,2018-01-26,CGINS-FLORTK-01100__20180126.csv,5.62,0.28639231863102005,50.0,0.0619,0.09962958702072199,53.0,0.0114,49.0,3.456e-06
CGINS,FLORTK,BBFL2,1100,2019-01-11,CGINS-FLORTK-01100__20190111.csv,5.62,0.28639231863102005,51.0,0.0537,0.08643148340893006,50.0,0.0112,48.0,3.459e-06
CGINS,FLORTK,BBFL2,1100,2019-12-10,CGINS-FLORTK-01100__20191210.csv,5.62,0.4457537913526475,49.0,0.0506,0.12675989715453506,49.0,0.0113,49.0,3.476e-06
CGINS,FLORTK,BBFL2,1100,2021-01-08,CGINS-FLORTK-01100__20210108.csv,5.62,0.7582129413718173,49.0,0.0907,0.3864869154572219,48.0,0.0121,48.0,3.121e-06
CGINS,FLORTK,BBFL2,1100,2022-01-20,CGINS-FLORTK-01100__20220120.csv,5.62,0.7582129413718173,50.0,0.0844,0.3596416280550114,50.0,0.0132,47.0,3.478e-06
CGINS,FLORTK,BBFL2,1100,2023-09-13,CGINS-FLORTK-01100__20230913.csv,1.0,1.0,50.25,0.09025,0.09025,50.6,0.01217,50.575,3.026e-06
CGINS,FLORTK,BBFL2,1101,2013-08-28,CGINS-FLORTK-01101__20130828.csv,5.62,0.2971274977067264,49.0,0.0902,0.1506210596474846,51.0,0.0121,50.0,2.995e-06
CGINS,FLORTK,BBFL2,1101,2015-02-19,CGINS-FLORTK-01101__20150219.csv,5.62,0.22169493911230448,47.0,0.0901,0.11225789275878471,48.0,0.0122,49.0,3.078e-06
CGINS,FLORTK,BBFL2,1101,2015-12-30,CGINS-FLORTK-01101__20151230.csv,5.62,0.28639231863102005,48.0,0.0766,0.1232896020321051,49.0,0.0116,49.0,3.067e-06
CGINS,FLORTK,BBFL2,1101,2016-12-12,CGINS-FLORTK-01101__20161212.csv,5.62,0.28639231863102005,47.0,0.0679,0.10928673600495999,49.0,0.0117,48.0,3.107e-06
CGINS,FLORTK,BBFL2,1101,2018-01-26,CGINS-FLORTK-01101__20180126.csv,5.62,0.28639231863102005,50.0,0.0631,0.1015610168175696,50.0,0.0117,49.0,3.379e-06
CGINS,FLORTK,BBFL2,1101,2019-01-11,CGINS-FLORTK-01101__20190111.csv,5.62,0.28639231863102005,50.0,0.0566,0.09109910541797843,50.0,0.0115,49.0,3.378e-06
CGINS,FLORTK,BBFL2,1101,2019-12-10,CGINS-FLORTK-01101__20191210.csv,5.62,0.4457537913526475,50.0,0.0553,0.1385340377993239,50.0,0.0114,49.0,3.476e-06
CGINS,FLORTK,BBFL2,1101,2021-06-14,CGINS-FLORTK-01101__20210614.csv,5.62,0.7582129413718173,48.0,0.0482,0.20538775441056337,53.0,0.0116,48.0,3.488e-06
CGINS,FLORTK,BBFL2,1101,2023-02-03,CGINS-FLORTK-01101__20230203.csv,1.0,1.0,50.0,0.1015,0.1015,51.0,0.01248,51.0,3.253e-06
CGINS,FLORTK,BBFL2,1117,2013-09-27,CGINS-FLORTK-01117__20130927.csv,5.62,0.2971274977067264,55.0,0.0916,0.15295885879944113,50.0,0.0126,49.0,3.084e-06
CGINS,FLORTK,BBFL2,1117,2015-02-12,CGINS-FLORTK-01117__20150212.csv,5.62,0.22169493911230448,48.0,0.0883,0.11001522675472465,48.0,0.0121,50.0,2.913e-06
CGINS,FLORTK,BBFL2,1117,2016-07-12,CGINS-FLORTK-01117__20160712.csv,5.62,0.28639231863102005,47.0,0.0713,0.11475912042936152,47.0,0.0118,49.0,2.956e-06
CGINS,FLORTK,BBFL2,1117,2017-07-25,CGINS-FLORTK-01117__20170725.csv,5.62,0.28639231863102005,50.0,0.0702,0.11298864311558456,50.0,0.0116,49.0,3.159e-06
CGINS,FLORTK,BBFL2,1117,2018-06-28,CGINS-FLORTK-01117__20180628.csv,5.62,0.28639231863102005,50.0,0.0622,0.10011244446993389,50.0,0.0114,49.0,3.197e-06
CGINS,FLORTK,BBFL2,1117,2019-06-25,CGINS-FLORTK-01117__20190625.csv,5.62,0.4457537913526475,47.0,0.0553,0.1385340377993239,49.0,0.0114,49.0,3.24e-06
CGINS,FLORTK,BBFL2,1117,2020-07-28,CGINS-FLORTK-01117__20200728.csv,5.62,0.7582129413718173,47.0,0.0503,0.21433618354463352,48.0,0.0108,49.0,3.699e-06
CGINS,FLORTK,BBFL2,1117,2021-06-22,CGINS-FLORTK-01117__20210622.csv,5.62,0.7582129413718173,44.0,0.0498,0.21220560517937875,47.0,0.0113,48.0,3.329e-06
CGINS,FLORTK,BBFL2,1117,2022-07-13,CGINS-FLORTK-01117__20220713.csv,5.62,0.7582129413718173,49.0,0.0886,0.37753848632315173,50.0,0.01211,50.0,3.258e-06
CGINS,FLORTK,BBFL2,1117,2024-02-26,CGINS-FLORTK-01117__20240226.csv,1.0,1.0,50.0,0.09068,0.09068,46.0,0.01208,47.9,2.996e-06
CGINS,FLORTK,BBFL2,1118,2013-09-27,CGINS-FLORTK-01118__20130927.csv,5.62,0.2971274977067264,57.0,0.0948,0.15830239971819887,51.0,0.0125,49.0,3.077e-06
CGINS,FLORTK,BBFL2,1118,2015-02-23,CGINS-FLORTK-01118__20150223.csv,5.62,0.22169493911230448,45.0,0.0842,0.10490693196769893,49.0,0.0123,50.0,3.229e-06
CGINS,FLORTK,BBFL2,1118,2015-12-29,CGINS-FLORTK-01118__20151229.csv,5.62,0.28639231863102005,47.0,0.0771,0.12409436444745825,49.0,0.0122,48.0,3.166e-06
CGINS,FLORTK,BBFL2,1118,2016-12-12,CGINS-FLORTK-01118__20161212.csv,5.62,0.28639231863102005,47.0,0.0699,0.11250578566637266,49.0,0.0116,48.0,2.996e-06
CGINS,FLORTK,BBFL2,1118,2018-01-25,CGINS-FLORTK-01118__20180125.csv,5.62,0.28639231863102005,50.0,0.0619,0.09962958702072199,53.0,0.0057,48.0,3.268e-06
CGINS,FLORTK,BBFL2,1118,2019-01-11,CGINS-FLORTK-01118__20190111.csv,5.62,0.28639231863102005,50.0,0.0555,0.08932862810420147,52.0,0.0108,49.0,3.285e-06
CGINS,FLORTK,BBFL2,1118,2019-12-10,CGINS-FLORTK-01118__20191210.csv,5.62,0.4457537913526475,48.0,0.0527,0.132020683400079,53.0,0.0106,49.0,3.341e-06
CGINS,FLORTK,BBFL2,1118,2021-06-15,CGINS-FLORTK-01118__20210615.csv,5.62,0.7582129413718173,47.0,0.0444,0.18919535883462685,51.0,0.0116,49.0,3.503e-06
CGINS,FLORTK,BBFL2,1118,2023-09-22,CGINS-FLORTK-01118__20230922.csv,1.0,1.0,48.0,0.0906,0.0906,49.0,0.01198,47.525,2.957e-06
CGINS,FLORTK,BBFL2,1119,2013-09-27,CGINS-FLORTK-01119__20130927.csv,5.62,0.2971274977067264,60.0,0.0904,0.15095503095490692,50.0,0.0125,49.0,3.095e-06
CGINS,FLORTK,BBFL2,1119,2015-02-12,CGINS-FLORTK-01119__20150212.csv,5.62,0.22169493911230448,47.0,0.0805,0.10029700740379768,50.0,0.012,48.0,3.133e-06
CGINS,FLORTK,BBFL2,1119,2015-12-30,CGINS-FLORTK-01119__20151230.csv,5.62,0.28639231863102005,47.0,0.072,0.11588578781085596,49.0,0.0114,48.0,3.069e-06
CGINS,FLORTK,BBFL2,1119,2016-12-12,CGINS-FLORTK-01119__20161212.csv,5.62,0.28639231863102005,47.0,0.0661,0.1063895913096886,50.0,0.0115,48.0,3.164e-06
CGINS,FLORTK,BBFL2,1119,2018-01-26,CGINS-FLORTK-01119__20180126.csv,5.62,0.28639231863102005,50.0,0.0624,0.10043434943607515,51.0,0.0057,49.0,3.426e-06
CGINS,FLORTK,BBFL2,1119,2019-01-11,CGINS-FLORTK-01119__20190111.csv,5.62,0.28639231863102005,51.0,0.0562,0.0904552954856959,52.0,0.0114,49.0,3.41e-06
CGINS,FLORTK,BBFL2,1119,2019-12-10,CGINS-FLORTK-01119__20191210.csv,5.62,0.4457537913526475,51.0,0.055,0.13778249690710334,51.0,0.0111,48.0,3.471e-06
CGINS,FLORTK,BBFL2,1119,2021-06-15,CGINS-FLORTK-01119__20210615.csv,5.62,0.7582129413718173,47.0,0.0465,0.198143787968697,52.0,0.0121,48.0,3.507e-06
CGINS,FLORTK,BBFL2,1119,2023-09-22,CGINS-FLORTK-01119__20230922.csv,1.0,1.0,47.0,0.0905,0.0905,49.0,0.01209,47.775,2.998e-06
CGINS,FLORTK,BBFL2,1466,2016-06-27,CGINS-FLORTK-01466__20160627.csv,5.62,0.28639231863102005,46.0,0.0906,0.14582294966199372,49.0,0.0121,43.0,3.026e-06
CGINS,FLORTK,BBFL2,1466,2017-07-25,CGINS-FLORTK-01466__20170725.csv,5.62,0.28639231863102005,50.0,0.0941,0.15145628656946591,51.0,0.0115,50.0,3.351e-06
CGINS,FLORTK,BBFL2,1466,2018-06-28,CGINS-FLORTK-01466__20180628.csv,5.62,0.28639231863102005,50.0,0.0849,0.13664865812696764,50.0,0.0111,49.0,3.404e-06
